"ID","condition","correct","rt"
1,1,1,503.671252163224
1,1,1,435.236351447168
1,1,1,378.106030604132
1,1,1,716.306986427172
1,1,1,456.146586428488
1,1,1,1126.31463137223
1,1,1,400.119923264881
1,1,1,653.973719784168
1,1,1,502.406846875314
1,1,1,501.730585640344
1,1,1,471.681093357753
1,1,1,648.118335091434
1,1,0,660.659411794755
1,1,1,544.284621807854
1,1,1,556.593554800091
1,1,1,597.00796873942
1,1,1,622.002421368003
1,1,1,738.002504450137
1,1,1,698.406167749785
1,1,0,928.498694584647
1,1,1,694.784523378852
1,1,1,472.954921542279
1,1,1,593.897799285075
1,1,0,946.978490192587
1,1,1,999.078239703946
1,1,1,774.160377370967
1,1,1,639.719852584295
1,1,1,519.34832949503
1,1,1,388.012415168229
1,1,1,524.057142754477
1,1,1,430.630419493232
1,1,1,574.88525403439
1,1,1,678.763320611843
1,1,1,703.73105343159
1,1,1,640.446637584991
1,1,0,673.170612442651
1,1,1,614.216181749919
1,1,1,567.105355035729
1,1,0,705.506210932093
1,1,1,539.61713899656
1,1,1,682.933060129429
1,1,1,662.969146127325
1,1,1,631.269188439829
1,1,1,484.97769407147
1,1,1,632.912966595038
1,1,1,632.010511102159
1,1,1,784.146138958944
1,1,1,555.368222938922
1,1,1,579.029821183501
1,1,1,433.205893648227
1,1,1,1033.16632146753
1,1,1,655.952351132246
1,1,1,641.904095326615
1,1,1,610.526895506439
1,1,1,433.012639268771
1,1,1,503.394030667542
1,1,1,640.174042703416
1,1,1,462.439955838116
1,1,1,981.83587654794
1,1,1,400.634283104899
1,1,1,447.949104768835
1,1,1,730.2080642933
1,1,1,763.594840667991
1,1,1,571.188069978752
1,1,1,409.741172466214
1,1,1,529.063285316077
1,1,1,417.873914260665
1,1,1,524.451600703419
1,1,1,543.757389687098
1,1,1,723.69110277348
1,1,0,613.138940855196
1,1,1,492.112811179775
1,1,1,782.425424529756
1,1,1,612.253378922384
1,1,1,484.467702560857
1,1,1,405.10493092458
1,1,1,527.651074299123
1,1,1,415.26109931394
1,1,1,613.147354279826
1,1,1,428.139913898231
1,1,1,387.858051554928
1,1,1,470.855801257927
1,1,1,633.998214756325
1,1,1,393.125273126297
1,1,1,565.641029896057
1,1,1,454.837386077368
1,1,1,521.965661971748
1,1,1,618.035221608942
1,1,1,1095.9814415405
1,1,1,457.345545667218
1,1,1,555.767054060856
1,1,1,459.691329225332
1,1,0,968.402912014593
1,1,1,703.106244859638
1,1,1,531.117638882867
1,1,1,708.647972746288
1,1,1,664.184746726178
1,1,1,431.993046155064
1,1,1,704.809946172262
1,1,1,1112.02662714684
1,1,1,699.444629167451
1,1,1,538.469211450792
1,1,1,376.038932560354
1,1,1,506.135450175034
1,1,1,526.632496907013
1,1,1,1008.64095331283
1,1,1,637.921811282748
1,1,1,514.246993094667
1,1,1,653.718650008734
1,1,1,839.128450665625
1,1,1,691.761097094685
1,1,1,383.407578365585
1,1,1,538.876052246278
1,1,1,462.90609857385
1,1,1,702.13728331567
1,1,1,894.249463482044
1,1,1,440.233235817076
1,1,1,566.46939767369
1,1,1,454.719666902444
1,1,1,886.79068415412
1,1,0,493.193483875043
1,1,1,468.552327481327
1,1,1,968.978108972183
1,1,0,545.605861395125
1,1,1,494.839730090216
1,1,1,703.913087581101
1,1,1,617.030385074227
1,1,0,476.330540192716
1,1,1,597.903057531052
1,1,1,588.808573332491
1,1,1,424.099465928025
1,1,1,485.985639417959
1,1,1,417.751548203797
1,1,1,528.869381298158
1,1,1,708.477765609549
1,1,1,538.569817732546
1,1,1,444.956265497951
1,1,1,637.120580217628
1,1,1,430.743296447772
1,1,1,417.137806838292
1,1,1,464.568030195474
1,1,1,1081.98266962985
1,1,1,404.015117437958
1,1,1,851.251092128799
1,1,1,559.336702458636
1,1,1,640.074158509983
1,1,1,675.44677237832
1,1,1,504.522233018325
1,1,1,526.403732173405
1,1,0,455.958525739485
1,1,1,510.925552301485
1,1,1,559.813905056105
1,1,1,768.768715301873
1,1,0,460.265485143455
1,1,1,890.566161286338
1,1,1,379.995081409962
1,1,1,570.447069898198
1,1,1,532.527060599153
1,1,1,679.950087407914
1,1,0,744.050679448882
1,1,1,645.75028350966
1,1,1,452.640568681382
1,1,1,643.628292790814
1,1,1,431.264193380691
1,1,1,468.286607941497
1,1,1,762.750899520956
1,1,1,507.006523629816
1,1,1,775.350271354011
1,1,1,588.682466717676
1,1,1,580.542175141231
1,1,1,619.166172006472
1,1,1,464.739391159863
1,1,1,484.853031798459
1,1,1,554.14059269531
1,1,1,540.086757334828
1,1,1,621.355433483231
1,1,1,428.343529075245
1,1,1,559.239977839837
1,1,1,471.411032913506
1,1,1,434.112908544039
1,1,1,469.434170455157
1,1,1,625.627062288454
1,1,1,1010.74799704615
1,1,1,481.235006158143
1,1,1,423.068940421649
1,1,1,406.69473156497
1,1,1,471.244483608405
1,1,1,827.549842805851
1,1,1,501.143667142104
1,1,1,448.729297990357
1,1,1,764.659139179097
1,1,1,712.658660078105
1,1,1,614.692058400797
1,1,1,815.152322298758
1,1,1,462.450456024402
1,1,1,559.159344985631
1,1,1,655.095882117033
1,1,1,894.967835333735
1,1,1,543.237079869582
1,1,1,489.768125216426
1,1,0,520.556803937863
1,1,1,631.368469245832
1,1,1,659.738300750765
1,1,1,888.383391786694
1,1,1,391.941436015681
1,1,0,540.980185132162
1,1,1,737.389393371781
1,1,1,637.086296314247
1,1,1,791.282199552479
1,1,1,505.104407884495
1,1,0,606.482466619149
1,1,1,412.581035641244
1,1,1,788.670645938889
1,1,1,574.442482804591
1,1,1,738.744944936663
1,1,1,609.759971309805
1,1,1,475.941831197526
1,1,0,574.331801500092
1,1,1,719.00575359459
1,1,1,537.040132690868
1,1,1,451.109321154781
1,1,1,526.346625978059
1,1,1,616.886296737968
1,1,1,493.168319929734
1,1,1,461.39347442584
1,1,1,910.243601495677
1,1,1,496.796241122436
1,1,1,395.668143982095
1,1,1,592.25867946322
1,1,1,668.850155360929
1,1,0,595.715193161497
1,1,1,550.999948700815
1,1,1,4736.61430760712
1,1,0,476.423888838077
1,1,1,578.458742810761
1,1,1,2176.03912246088
1,1,1,722.316332599559
1,1,1,616.309850338008
1,1,1,392.327409951209
1,1,1,629.199837245338
1,1,1,753.034031964982
1,1,1,974.920914908968
1,1,1,732.402402820333
1,1,0,873.374757072176
1,1,1,1194.65417551804
1,1,1,724.975667799479
1,1,1,726.712773899967
1,1,1,477.42291502363
1,1,1,409.323456638774
1,1,1,532.76775594673
1,1,1,629.345912504627
1,1,0,553.040773981337
1,1,1,469.859187469675
1,1,1,452.285886439606
1,1,1,422.166670717107
1,1,1,818.917107775855
1,1,1,652.740851565234
1,1,1,961.973562756168
1,1,1,450.742127308886
1,1,1,716.370784877285
1,1,1,465.144949365987
1,1,0,520.280574213511
1,1,1,413.095364947933
1,1,1,407.743796619929
1,1,1,610.056553709464
1,1,1,661.7420090555
1,1,1,1709.82663505104
1,1,1,660.348946384505
1,1,1,594.932154097858
1,1,1,564.93311110761
1,1,1,711.187379272376
1,1,1,814.675585534513
1,1,1,668.286332337422
1,1,1,1706.93519670309
1,1,1,828.681771791182
1,1,1,558.897893798962
1,1,1,544.862827145701
1,1,1,552.445595435408
1,1,1,929.970001447076
1,1,1,537.007702644932
1,1,1,664.373090251211
1,1,1,407.958736224807
1,1,1,397.004625472874
1,1,1,516.535572721535
1,1,1,866.529908856522
1,1,1,412.933460865846
1,1,1,512.930095986962
1,1,1,585.191587614615
1,1,1,672.644549346149
1,1,1,694.223764368943
1,1,1,1077.5209672742
1,1,1,655.255273760259
1,1,1,494.142091714469
1,1,1,677.665403697531
1,1,1,417.435516137164
1,1,0,619.630144047001
1,1,1,386.425790949267
1,1,1,398.979767451095
1,1,1,469.245797048554
1,1,1,404.331328780958
1,1,0,620.939038023383
1,1,1,366.272945328186
1,1,0,529.105310995221
1,1,1,615.43494066575
1,1,1,382.296292193268
1,1,1,1085.0955745443
1,1,1,412.085259297732
1,1,1,554.718668083319
1,1,1,584.543676570227
1,1,1,461.64140627985
1,1,1,527.738846207217
1,1,1,668.131993528876
1,1,1,748.21519214387
1,1,1,577.979633015579
1,1,1,414.428559658769
1,1,1,605.962881753243
1,1,1,854.382973306378
1,1,1,535.145565909241
1,1,1,689.670767710795
1,1,1,535.744731742054
1,1,1,429.463262348416
1,1,1,536.561728582635
1,1,1,729.746531987109
1,1,0,482.907519414571
1,1,1,713.44140793594
1,1,1,626.195880702904
1,1,1,568.075162934026
1,1,1,486.710625718118
1,1,1,614.923901976087
1,1,1,558.764910014083
1,1,1,694.374797408148
1,1,1,626.33370302191
1,1,0,489.725003524973
1,1,1,490.954089265087
1,1,1,529.803655819191
1,1,1,901.37978053429
1,1,0,614.132726175065
1,1,1,428.403544717789
1,1,1,636.706213759969
1,1,1,881.262599286644
1,1,1,623.322107571872
1,1,1,959.35625172285
1,1,1,376.05128900197
1,1,1,912.005810553851
1,1,0,519.192843106396
1,1,1,490.747705637428
1,1,0,652.050591418237
1,1,1,445.223058131905
1,1,1,504.007875717385
1,1,1,418.988108356912
1,1,1,407.804847345039
1,1,1,475.051145175888
1,1,1,587.707784049065
1,1,1,734.332719097753
1,1,1,554.656017391311
1,1,1,582.666764469368
1,1,1,583.772347203605
1,1,1,578.76752318377
1,1,1,761.128050339016
1,1,1,499.46689178657
1,1,0,433.390507035792
1,1,1,542.703007033162
1,1,1,529.903968137373
1,1,1,524.083368192645
1,1,1,539.486071106809
1,1,1,587.213512662356
1,1,0,461.777747814201
1,1,1,690.751316697546
1,1,1,396.670778615234
1,1,1,741.655372956988
1,1,1,559.008803535554
1,1,1,579.85055209391
1,1,1,716.6212556705
1,1,1,368.338933750395
1,1,1,453.832192625133
1,1,1,651.655754273833
1,1,1,515.348268513581
1,1,1,517.204456855073
1,1,1,666.885672530595
1,1,1,815.380759951252
1,1,1,516.196018419989
1,1,1,570.191925015303
1,1,1,615.22509735574
1,1,0,385.696071164207
1,1,0,865.242774706918
1,1,1,484.370474840231
1,1,1,633.044942710519
1,1,1,482.355107310135
1,1,1,437.421301995179
1,1,1,373.646167601511
1,1,1,600.564709908792
1,1,1,506.196276644443
1,1,1,483.233523653663
1,1,1,532.844416804999
1,1,1,686.786274146179
1,1,1,749.518433963998
1,1,1,441.754724888649
1,1,1,469.205472201663
1,1,1,625.054355210257
1,1,1,725.637643224
1,2,1,521.581414371467
1,2,1,669.781605953844
1,2,1,626.234834722754
1,2,1,755.985057640782
1,2,1,532.084718412393
1,2,1,727.570161714469
1,2,1,605.467888554403
1,2,0,821.015621366965
1,2,1,639.004545327644
1,2,0,704.829679509431
1,2,1,500.156022877192
1,2,1,1058.88649913048
1,2,1,671.641788226861
1,2,1,817.196364274605
1,2,1,475.366661625286
1,2,1,583.959088089584
1,2,1,795.276546952813
1,2,1,754.391866020081
1,2,1,602.760500696543
1,2,1,726.730082018873
1,2,1,751.722664438248
1,2,1,761.388797269022
